DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
04-Jan-21,EGAD,Eaagads Ltd,8.2,14,12.5,12.5,12.5,12.5,-,-,"3,200",-
04-Jan-21,KUKZ,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-
04-Jan-21,KAPC,Kapchorua Tea Kenya Plc,59,90,78,78,78,78,-,-,-,-
04-Jan-21,LIMT,Limuru Tea Plc,360,475,360,360,360,360,-,-,100,-
04-Jan-21,SASN,Sasini Plc,14.8,20,19.5,19.5,19.5,19.5,-,-,-,-
04-Jan-21,WTK,Williamson Tea Kenya Plc,92,150,127.5,130,129.75,130.25,-0.5,0.38%,"3,200",-
04-Jan-21,CGEN,Car and General (K) Ltd,20,26,22,22,22,22,-,-,-,-
04-Jan-21,ABSA,ABSA Bank Kenya Plc,8.5,14.2,9.42,9.8,9.52,9.66,-0.14,1.45%,"18,500",-
04-Jan-21,BKG,BK Group Plc,12.15,28,20.5,20.5,20.5,20.5,-,-,-,-
04-Jan-21,COOP,Co-operative Bank of Kenya Ltd,10.2,17,12.2,13.7,12.55,12.5,0.05,0.40%,"248,100",-
04-Jan-21,DTK,Diamond Trust Bank Kenya Ltd,58.5,125,75,78.5,76.75,75,1.75,2.33%,200,-
04-Jan-21,EQTY,Equity Group Holdings Plc,28,55.25,35.55,36.5,36.25,36.55,-0.3,0.82%,"1,955,500",-
04-Jan-21,HFCK,HF Group Ltd,2.86,6.98,3,3.45,3.14,3.32,-0.18,5.42%,"15,400",-
04-Jan-21,IMH,I & M Holdings Plc,42.5,59,43.9,45,44.85,45,-0.15,0.33%,"38,600",-
04-Jan-21,KCB,KCB Group Plc,30,55.5,38.2,38.5,38.4,38.1,0.3,0.79%,"58,500",-
04-Jan-21,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-
04-Jan-21,NCBA,NCBA Group Plc,20,34.41,26.5,27,26.6,26.75,-0.15,0.56%,"7,700",-
04-Jan-21,SBIC,Stanbic Holdings Plc,72.25,118.5,85,85,85,85,-,-,-,-
04-Jan-21,SCBK,Standard Chartered Bank Kenya Ltd,143,215,144,148.75,144.5,144.25,0.25,0.17%,"14,800",-
04-Jan-21,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
04-Jan-21,EVRD,Eveready East Africa Ltd,0.75,1.5,1.25,1.28,1.27,1.2,0.07,5.83%,700,-
04-Jan-21,XPRS,Express Kenya Plc,2.5,6.84,3.38,3.7,3.61,3.61,-,-,"1,100",-
04-Jan-21,KQ,Kenya Airways Plc,0.8,3.96,3.83,3.83,3.83,3.83,-,-,-,-
04-Jan-21,LKL,Longhorn Publishers Plc,4.21,6.8,4.75,4.88,4.87,4.88,-0.01,0.20%,"1,800",-
04-Jan-21,NBV,Nairobi Business Ventures Ltd,0.49,6,3.9,4.7,4.65,4.28,0.37,8.64%,"22,000",-
04-Jan-21,NMG,Nation Media Group Plc,9,39.75,15,15.5,15.3,15.45,-0.15,0.97%,"53,700",-
04-Jan-21,SMER,Sameer Africa Plc,1.91,4.62,3.25,3.25,3.25,3.25,-,-,-,-
04-Jan-21,SGL,Standard Group Plc,18,27,22.5,22.5,22.5,22.5,-,-,-,-
04-Jan-21,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,19,16,16,16,16,-,-,-,-
04-Jan-21,UCHM,Uchumi Supermarket Plc,0.23,0.4,0.28,0.3,0.28,0.28,-,-,"247,700",-
04-Jan-21,SCAN,WPP ScanGroup Plc,5.8,25,5.8,6.1,6,6,-,-,"139,400",-
04-Jan-21,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
04-Jan-21,BAMB,Bamburi Cement Ltd,19.05,80,39.95,39.95,39.95,37.85,2.1,5.55%,"18,100",-
04-Jan-21,CRWN,Crown Paints Kenya Plc,36,68,38,38,38,38,-,-,-,-
04-Jan-21,CABL,East African Cables Ltd,1.26,2.8,1.4,1.45,1.4,1.38,0.02,1.45%,"18,800",-
04-Jan-21,PORT,East African Portland Cement Ltd,10,16,11,11,11,11,-,-,-,-
04-Jan-21,KEGN,Kenya Electricity Generating Company Plc,4,6.28,4.6,4.78,4.67,4.71,-0.04,0.85%,"33,100",-
04-Jan-21,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
04-Jan-21,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
04-Jan-21,KPLC,Kenya Power and Lighting Company Plc,1.16,3.23,1.68,1.73,1.71,1.71,-,-,"1,064,600",-
04-Jan-21,TOTL,Total Kenya Ltd,21,29,24,24,24,24,-,-,"5,000",-
04-Jan-21,UMME,Umeme Ltd,5.86,8.6,7.28,7.3,7.3,7.28,0.02,0.27%,"1,800",-
04-Jan-21,BRIT,Britam Holdings Plc,5.7,10.65,7,7.26,7,7.26,-0.26,3.58%,"510,400",-
04-Jan-21,CIC,CIC Insurance Group Ltd,1.95,3.18,2.1,2.15,2.11,2.13,-0.02,0.94%,"40,100",-
04-Jan-21,JUB,Jubilee Holdings Ltd,210,360.25,272.25,285,275.75,284,-8.25,2.90%,"3,900",-
04-Jan-21,KNRE,Kenya Re-Insurance Corporation Ltd,2,3.3,2.3,2.4,2.31,2.32,-0.01,0.43%,"160,400",-
04-Jan-21,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,7.7,7.7,7.7,7.7,-,-,-,-
04-Jan-21,SLAM,Sanlam Kenya Plc,11,18.8,13,13,13,12.95,0.05,0.39%,"4,300",-
04-Jan-21,CTUM,Centum Investment Company Plc,15.15,30,16.2,16.5,16.45,16.05,0.4,2.49%,"36,700",-
04-Jan-21,HAFR,Home Afrika Ltd,0.3,0.63,0.41,0.44,0.42,0.42,-,-,"24,000",-
04-Jan-21,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
04-Jan-21,OCH,Olympia Capital Holdings Ltd,1.82,2.6,2.2,2.2,2.2,2.2,-,-,100,-
04-Jan-21,TCL,Trans-Century Plc,1.1,2.7,1.45,1.49,1.48,1.45,0.03,2.07%,"30,000",-
04-Jan-21,NSE,Nairobi Securities Exchange Plc,6.5,13,8.26,8.4,8.3,8.16,0.14,1.72%,"5,500",-
04-Jan-21,BOC,BOC Kenya Plc,53,72,63,63,63,63,-,-,-,-
04-Jan-21,BAT,British American Tobacco Kenya Plc,305,505,361,361,361,361,-,-,-,-
04-Jan-21,CARB,Carbacid Investments Plc,7.2,13,12.05,12.3,12.1,12.1,-,-,"126,200",-
04-Jan-21,EABL,East African Breweries Ltd,135,222.25,154,156,154,154.25,-0.25,0.16%,"168,800",-
04-Jan-21,FTGH,Flame Tree Group Holdings Ltd,0.76,2.45,1.21,1.23,1.23,1.23,-,-,"2,900",-
04-Jan-21,ORCH,Kenya Orchards Ltd,10.5,12.5,10.5,10.5,10.5,10.5,-,-,-,-
04-Jan-21,UNGA,Unga Group Ltd,26.1,35,31.8,31.8,31.8,31.8,-,-,-,-
04-Jan-21,SCOM,Safaricom Plc,23.5,35,34,34.5,34.25,34.25,-,-,"3,591,000",-
04-Jan-21,FAHR,Stanlib Fahari Income-REIT,4.98,10,5.64,6.08,5.84,5.64,0.2,3.55%,"9,000",-
04-Jan-21,GLD,ABSA NewGold ETF,"1,470.00","2,100.00","1,975.00","1,975.00","1,975.00","1,975.00",-,-,-,-
04-Jan-21,^FNK15,FTSE NSE Kenya 15 Index,152.56,227.73,177.47,179.97,177.94,178.15,-0.21,0.12%,-,-
04-Jan-21,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,196.9,198.69,197.7,197.58,0.12,0.06%,-,-
04-Jan-21,^N20I,NSE 20-Share Index,"1,723.96","2,706.38","1,872.42","1,872.42","1,872.42","1,868.39",4.03,0.22%,-,-
