Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
2-Jan-2024,EGAD,Eaagads Ltd,10.35,14.50,12.80,12.80,12.80,13.95,-1.15,8.24%,100.00,-
2-Jan-2024,KUKZ,Kakuzi Plc,342.00,440.00,385.00,385.00,385.00,385.00,-,-,-,-
2-Jan-2024,KAPC,Kapchorua Tea Kenya Plc,207.00,280.00,215.00,215.00,215.00,215.00,-,-,-,-
2-Jan-2024,LIMT,Limuru Tea Plc,365.00,380.00,380.00,380.00,380.00,380.00,-,-,-,-
2-Jan-2024,SASN,Sasini Plc,15.10,22.00,20.00,20.00,20.00,20.00,-,-,"3,300.00",-
2-Jan-2024,WTK,Williamson Tea Kenya Plc,193.50,290.00,228.00,228.00,228.00,208.00,20,9.62%,100.00,-
2-Jan-2024,CGEN,Car and General (K) Ltd,17.95,31.80,25.00,25.00,25.00,25.00,-,-,-,-
2-Jan-2024,ABSA,ABSA Bank Kenya Plc,10.55,16.70,11.45,11.75,11.55,11.45,0.1,0.87%,"9,900.00",-
2-Jan-2024,BKG,BK Group Plc,30.00,37.00,33.50,35.80,35.50,35.80,-0.3,0.84%,"5,600.00",-
2-Jan-2024,COOP,Co-operative Bank of Kenya Ltd,10.10,15.20,11.10,11.40,11.35,11.40,-0.05,0.44%,"148,300.00",-
2-Jan-2024,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.00,44.60,45.05,44.75,45.05,-0.3,0.67%,"1,100.00",-
2-Jan-2024,EQTY,Equity Group Holdings Plc,33.60,51.00,33.80,37.00,34.20,33.65,0.55,1.63%,"26,100.00",-
2-Jan-2024,HFCK,HF Group Ltd,3.02,4.90,3.45,3.45,3.45,3.48,-0.03,0.86%,100.00,-
2-Jan-2024,IMH,I & M Holdings Plc,17.00,35.00,17.20,17.50,17.45,17.50,-0.05,0.29%,"20,800.00",-
2-Jan-2024,KCB,KCB Group Plc,15.75,40.00,21.80,22.00,21.95,21.90,0.05,0.23%,"54,700.00",-
2-Jan-2024,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-
2-Jan-2024,NCBA,NCBA Group Plc,34.05,47.00,38.10,38.95,38.85,38.95,-0.1,0.26%,"2,200.00",-
2-Jan-2024,SBIC,Stanbic Holdings Plc,100.00,134.00,102.00,109.00,106.00,108.75,-2.75,2.53%,900.00,-
2-Jan-2024,SCBK,Standard Chartered Bank Kenya Ltd,148.00,236.00,160.25,164.00,160.25,162.00,-1.75,1.08%,"20,400.00",-
2-Jan-2024,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
2-Jan-2024,EVRD,Eveready East Africa Ltd,0.97,1.65,1.18,1.18,1.18,1.08,0.1,9.26%,200.00,-
