stock_code,total_records,valid_prices,missing_pct,min_price,max_price,mean_price,median_price,std_price,price_range,date_start,date_end,trading_days,outliers,outlier_pct,avg_gap_days,max_gap_days
EGAD,2196,2196,0.0,8.24,53.0,21.82627504553734,22.0,8.328695849089398,44.76,2013-01-02,2021-12-31,2196,5,0.22768670309653918,1.4965831435079726,188
KNRE,2196,2196,0.0,2.1,23.0,13.841748633879781,16.95,7.125200625724994,20.9,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
CRWN,2196,2196,0.0,19.65,182.0,67.6832650273224,62.5,26.778502729308414,162.35,2013-01-02,2021-12-31,2196,42,1.912568306010929,1.4965831435079726,188
PORT,2196,2196,0.0,6.06,105.0,34.75372950819672,26.75,23.349057052027348,98.94,2013-01-02,2021-12-31,2196,2,0.09107468123861566,1.4965831435079726,188
KUKZ,2196,2196,0.0,67.5,423.5,280.40812841530055,310.0,96.66205078830242,356.0,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
KEGN,2196,2196,0.0,3.91,17.35,8.095418943533698,7.029999999999999,3.260419478760597,13.440000000000001,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
KPLC-P4,2196,2196,0.0,4.53,7.65,5.6154143897996365,5.3,0.9379633641002222,3.12,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
KPLC-P7,2196,2196,0.0,5.5,6.0,5.783014571948998,6.0,0.24786693058435808,0.5,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
KPLC,2196,2196,0.0,1.28,20.0,8.857158469945356,8.4,5.609248938426226,18.72,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
TOTL,2196,2196,0.0,13.1,35.75,23.469489981785063,24.1,4.655078341328823,22.65,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
BRIT,2196,2196,0.0,6.0,37.0,12.59183970856102,10.45,5.969959297777461,31.0,2013-01-02,2021-12-31,2196,17,0.7741347905282332,1.4965831435079726,188
CIC,2196,2196,0.0,2.0,11.85,4.968715846994535,4.5,2.35664111563935,9.85,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
JUB,2196,2196,0.0,175.0,598.0,397.9467213114754,412.5,97.73816048147341,423.0,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
LBTY,2196,2196,0.0,6.52,27.75,13.424480874316941,12.65,4.834710032373022,21.23,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
ARM,2196,2196,0.0,2.55,97.5,32.972518214936244,19.975,31.221126535240664,94.95,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
SLAM,2196,2196,0.0,9.16,141.0,45.741388888888885,27.75,37.26330899429767,131.84,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
CTUM,2196,2196,0.0,12.2,78.0,35.15960837887067,34.675,13.612572445857383,65.8,2013-01-02,2021-12-31,2196,2,0.09107468123861566,1.4965831435079726,188
OCH,2196,2196,0.0,1.78,9.85,3.389804189435337,3.0,1.2637645638339787,8.07,2013-01-02,2021-12-31,2196,13,0.5919854280510018,1.4965831435079726,188
TCL,2196,2196,0.0,1.03,36.75,10.506775956284152,6.0,10.197274882154492,35.72,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
BOC,2196,2196,0.0,54.25,189.0,95.55897085610201,90.0,28.600974968441054,134.75,2013-01-02,2021-12-31,2196,1,0.04553734061930783,1.4965831435079726,188
CARB,2196,2196,0.0,7.2,260.0,28.252349726775957,13.05,40.06929574319394,252.8,2013-01-02,2021-12-31,2196,26,1.1839708561020037,1.4965831435079726,188
EABL,2196,2196,0.0,135.25,423.0,242.9330601092896,247.0,54.79628158924034,287.75,2013-01-02,2021-12-31,2196,3,0.1366120218579235,1.4965831435079726,188
ORCH,2196,2196,0.0,3.0,190.0,49.40432604735883,14.0,45.03139843045659,187.0,2013-01-02,2021-12-31,2196,1,0.04553734061930783,1.4965831435079726,188
UNGA,2196,2196,0.0,13.05,54.5,32.00698998178507,32.5,7.777614340585363,41.45,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
SCOM,2196,2196,0.0,5.1,44.95,22.394990892531872,21.375,9.966442553655524,39.85,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
^FNK15,2196,2196,0.0,126.46,246.23,189.7059289617486,187.10500000000002,22.53007524356278,119.77,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
BAMB,2196,2196,0.0,27.25,225.0,140.71172586520947,158.0,57.3031896553219,197.75,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
CABL,2196,2196,0.0,1.18,17.65,7.681794171220401,5.8,5.6676237414947614,16.47,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
SCAN,2196,2196,0.0,3.57,75.0,26.537577413479056,18.15,18.717129933403,71.43,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
SASN,2196,2196,0.0,10.9,31.25,18.278529143897995,17.85,3.7799006958750176,20.35,2013-01-02,2021-12-31,2196,1,0.04553734061930783,1.4965831435079726,188
CGEN,2196,2196,0.0,16.0,61.5,29.06734972677596,25.0,9.52872145478233,45.5,2013-01-02,2021-12-31,2196,7,0.31876138433515483,1.4965831435079726,188
ABSA,2196,2196,0.0,7.15,18.75,12.424986338797813,11.45,3.133334618461355,11.6,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
COOP,2196,2196,0.0,9.75,24.0,15.890118397085608,16.0,2.9635323816890726,14.25,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
DTK,2196,2196,0.0,54.75,275.0,157.60040983606558,164.0,58.37863112120688,220.25,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
EQTY,2196,2196,0.0,23.5,59.0,40.489503642987245,39.95,7.101482746741318,35.5,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
KAPC,2196,2196,0.0,59.75,242.0,102.54826958105646,85.0,36.17742760444558,182.25,2013-01-02,2021-12-31,2196,34,1.5482695810564664,1.4965831435079726,188
HFCK,2196,2196,0.0,3.14,50.25,16.44167122040073,11.175,12.860639915185924,47.11,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
UCHM,2196,2196,0.0,0.21,23.25,6.023811475409835,3.15,6.736322918945819,23.04,2013-01-02,2021-12-31,2196,0,0.0,1.4965831435079726,188
